,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,y
1,2,8,3,5,1,8,13,0,6,6,10,8,0,8,0,8,0
2,5,12,3,7,2,10,5,5,4,13,3,9,2,8,4,10,0
3,4,11,6,8,6,10,6,2,6,10,3,7,3,7,3,9,0
4,7,11,6,6,3,5,9,4,6,4,4,10,6,10,2,8,0
5,2,1,3,1,1,8,6,6,6,6,5,9,1,7,5,10,0
6,4,11,5,8,3,8,8,6,9,5,6,6,0,8,9,7,0
7,4,2,5,4,4,8,7,6,6,7,6,6,2,8,7,10,0
8,1,1,3,2,1,8,2,2,2,8,2,8,1,6,2,7,0
9,2,2,4,4,2,10,6,2,6,12,4,8,1,6,1,7,0
10,11,15,13,9,7,13,2,6,2,12,1,9,8,1,1,8,0
11,3,9,5,7,4,8,7,3,8,5,6,8,2,8,6,7,0
12,6,13,4,7,4,6,7,6,3,10,7,9,5,9,5,8,1
13,4,9,6,7,6,7,8,6,2,6,5,11,4,8,7,8,0
14,6,9,8,6,9,7,8,6,5,7,5,8,8,9,8,6,0
15,5,9,5,7,6,6,11,7,3,7,3,9,2,7,5,11,0
16,6,9,5,4,3,10,6,3,5,10,5,7,3,9,6,9,0
17,3,4,4,3,2,8,7,7,5,7,6,8,2,8,3,8,1
18,7,10,5,5,2,6,8,6,8,11,7,11,2,8,5,9,0
19,6,11,6,8,5,6,11,5,6,11,9,4,3,12,2,4,0
20,2,2,3,3,1,10,6,3,6,12,4,9,0,7,1,7,0
21,1,3,2,2,1,8,8,2,5,14,5,8,0,7,0,7,0
22,4,5,5,4,4,7,7,6,6,7,6,8,3,8,3,8,0
23,3,2,3,3,2,8,8,7,5,7,5,7,2,8,9,8,0
24,6,11,7,8,5,7,6,9,6,7,5,9,4,8,5,5,1
25,3,6,4,4,2,6,6,4,4,14,8,12,1,6,1,6,0
26,6,11,7,8,3,7,8,7,11,4,7,14,1,7,4,8,0
27,7,11,11,8,9,3,8,4,5,10,11,10,10,9,5,7,0
28,12,14,12,8,5,9,10,4,3,5,10,7,10,12,2,6,0
29,6,9,8,7,6,8,6,6,7,7,7,9,6,8,4,8,0
30,3,6,4,4,2,6,6,5,5,6,6,9,2,8,4,8,0
31,2,3,3,4,1,0,1,5,6,0,0,6,0,8,0,8,0
32,1,3,3,1,1,6,4,1,7,8,3,10,0,7,2,9,0
33,8,12,8,6,4,3,10,4,7,12,11,9,3,7,3,4,0
34,5,9,7,7,10,9,8,4,4,6,8,6,6,11,8,7,0
35,6,9,9,7,6,5,6,3,5,10,9,9,8,5,2,7,0
36,4,7,6,5,3,6,6,6,8,6,5,9,3,10,4,8,0
37,4,7,5,5,3,7,7,8,6,7,6,8,3,8,3,8,1
38,3,6,4,4,2,4,14,8,1,11,6,3,0,10,4,8,0
39,4,9,5,6,6,8,5,4,3,7,5,11,6,8,5,11,0
40,3,4,3,6,2,3,8,6,10,7,6,15,0,8,7,8,0
41,5,11,8,8,4,8,8,1,8,10,5,7,3,8,4,8,0
42,3,7,4,5,4,7,7,5,8,8,8,9,3,9,6,9,0
43,4,6,7,4,3,9,7,2,8,11,3,7,3,8,4,9,0
44,4,5,5,8,3,7,6,8,8,6,6,10,1,8,6,11,0
45,7,9,6,5,2,8,10,4,5,8,10,5,4,12,3,8,0
46,4,10,5,7,5,8,7,3,8,5,6,6,3,8,6,8,0
47,5,9,6,7,8,7,9,5,3,7,9,8,6,8,3,8,0
48,1,3,2,1,1,7,7,5,6,7,5,10,1,9,3,9,0
49,8,10,8,6,6,7,7,3,5,8,4,8,6,6,7,7,0
50,3,9,4,7,2,7,5,6,10,5,6,10,0,9,9,8,0
51,7,11,9,8,8,9,5,6,4,7,8,8,3,9,8,3,0
52,3,6,3,4,1,1,0,6,6,0,1,5,0,8,0,8,0
53,2,4,4,3,2,6,10,1,7,8,11,8,1,11,2,7,0
54,4,5,6,6,5,8,10,4,4,7,7,9,3,7,7,5,0
55,4,9,5,6,4,7,8,7,7,8,4,7,2,7,9,8,0
56,6,9,7,11,7,8,5,7,5,9,6,9,3,8,6,8,0
57,3,5,5,4,4,9,3,4,3,8,4,9,3,6,4,8,0
58,2,6,3,4,2,6,7,10,8,6,6,6,3,8,3,8,0
59,6,10,4,5,2,6,9,6,6,11,7,7,2,9,5,9,0
60,5,10,6,8,5,9,3,2,6,9,2,9,2,5,3,9,0
61,3,3,3,5,2,7,7,13,2,5,6,8,5,8,0,8,0
62,2,3,3,1,1,5,9,4,6,11,9,11,1,9,2,8,0
63,6,9,4,4,2,7,7,4,7,10,6,10,1,9,7,9,0
64,4,9,5,6,5,7,6,3,5,6,6,9,2,8,8,8,0
65,3,3,4,1,2,8,7,5,6,7,6,8,5,8,3,7,0
66,2,3,2,4,1,0,1,5,6,0,0,6,0,8,0,8,0
67,3,5,5,4,3,7,8,3,6,10,6,8,3,8,3,8,0
68,2,3,3,2,2,7,7,5,7,7,6,8,2,8,5,10,0
69,5,10,6,7,6,9,6,6,4,7,8,7,6,9,8,3,0
70,8,12,8,6,4,9,8,4,5,8,4,5,6,9,5,9,0
71,5,10,5,5,4,9,6,5,6,10,6,7,4,8,9,9,0
72,3,8,5,7,3,8,7,9,6,6,6,9,3,8,5,9,0
73,4,6,6,4,5,8,5,6,4,6,7,10,4,7,5,9,0
74,2,8,3,6,1,13,3,8,4,13,3,11,1,6,0,8,0
75,4,7,5,5,2,8,9,1,7,14,5,6,0,8,1,8,0
76,4,5,5,4,3,7,7,7,7,7,6,5,2,8,3,7,0
77,2,6,4,4,3,6,7,5,5,6,5,7,3,7,5,8,0
78,4,5,7,4,4,6,6,3,4,9,9,10,7,5,2,8,0
79,3,7,5,5,3,12,2,3,2,10,2,9,2,6,3,8,0
80,3,5,4,4,2,7,8,5,4,7,7,7,6,9,2,5,0
81,6,10,9,7,8,3,7,4,5,10,11,10,7,9,3,7,0
82,8,14,7,8,4,5,10,6,3,12,5,4,4,10,4,8,0
83,6,12,5,7,4,8,5,4,3,9,9,11,4,9,8,10,0
84,6,10,8,8,7,8,5,7,5,7,6,6,3,9,8,9,0
85,2,3,3,1,1,5,9,3,3,10,8,8,4,8,0,8,0
86,3,4,4,3,2,9,10,3,2,5,9,7,6,11,0,8,0
87,3,8,5,6,6,8,7,4,1,8,7,8,5,10,4,7,0
88,6,9,9,8,10,8,7,5,5,7,6,8,8,9,9,3,0
89,6,7,9,5,7,4,7,3,5,10,10,11,8,6,3,7,0
90,4,8,5,6,4,7,7,4,8,11,8,9,2,9,5,7,0
91,6,11,8,8,9,5,8,3,4,8,8,9,7,9,5,4,0
92,8,10,8,7,4,3,10,3,7,11,12,6,1,11,3,5,0
93,4,8,5,6,3,6,8,4,1,7,8,8,8,9,0,8,0
94,6,7,8,6,6,6,6,5,6,8,5,8,3,6,5,6,1
95,4,4,4,6,2,7,7,14,2,5,6,8,6,8,0,8,0
96,4,8,5,6,5,7,10,8,5,8,5,6,3,6,7,11,0
97,4,7,5,5,3,8,7,8,5,10,6,8,3,8,3,8,1
98,4,8,5,6,4,7,7,9,4,6,4,6,3,7,3,8,0
99,4,9,5,6,2,7,6,15,1,7,7,8,3,8,0,8,0
100,7,11,8,9,4,3,9,6,7,11,11,10,3,9,2,6,0
101,2,7,3,5,1,6,10,0,3,7,11,8,1,11,0,8,0
102,6,8,7,6,4,6,9,4,8,11,7,6,2,8,5,5,0
103,5,9,6,7,5,7,7,7,5,7,6,7,2,8,9,8,0
104,2,3,2,2,1,7,11,2,6,7,10,8,1,11,1,7,0
105,2,3,3,2,1,4,7,4,6,10,9,13,1,9,2,7,0
106,4,10,7,7,2,9,8,5,3,5,14,8,3,9,0,8,0
107,5,8,5,6,3,6,12,4,7,12,9,4,2,12,2,4,0
108,7,12,6,6,3,7,8,2,7,9,7,8,5,8,3,7,0
109,3,8,4,6,4,7,8,7,6,7,7,5,3,8,3,7,0
110,2,1,3,1,1,7,8,4,0,7,8,8,6,10,0,8,0
111,2,9,3,7,2,8,7,0,7,13,6,9,0,8,1,8,0
112,3,8,3,6,2,3,7,6,10,7,6,14,0,8,7,8,0
113,6,9,8,7,4,6,12,6,6,13,7,3,2,9,2,5,0
114,3,9,4,7,3,7,7,0,7,13,6,8,0,8,1,8,0
115,5,10,7,8,8,7,7,6,6,7,6,9,3,8,4,8,0
116,4,7,4,5,2,7,5,13,5,7,14,7,3,9,0,8,0
117,2,3,3,2,1,6,8,7,7,9,7,12,1,10,3,9,0
118,5,9,6,7,7,7,6,6,4,7,7,8,5,10,9,12,0
119,3,8,5,6,3,9,2,2,3,8,2,8,2,6,3,7,0
120,3,7,5,5,3,7,8,2,9,11,7,7,1,8,6,7,0
121,3,7,5,5,2,10,5,2,8,10,1,7,3,7,3,10,0
122,3,3,5,2,2,5,10,3,4,10,8,7,5,8,1,8,0
123,6,9,5,4,3,10,6,5,5,10,2,8,6,6,4,9,0
124,3,3,3,4,3,7,7,5,5,7,6,6,5,8,5,10,0
125,5,9,7,7,7,8,8,3,6,10,5,6,3,7,6,8,0
126,5,6,5,4,2,5,8,6,8,9,8,8,3,9,2,5,0
127,4,4,6,5,4,8,9,4,5,7,6,9,3,7,8,8,0
128,3,7,4,5,2,1,11,4,4,11,11,8,0,8,2,7,0
